vent_id,scene_id,observed,date,plume_latitude,plume_longitude,plume_id,emission_auto,emission_uncertainty_auto,qc_missing,qc_qc,qc
133,GAO20220419t170408p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
135,GAO20220923t175137p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
135,GAO20220428t165558p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
135,GAO20220422t165446p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
135,GAO20220419t171816p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
137,GAO20220923t181220p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
137,GAO20220428t171036p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
137,GAO20220422t171936p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
137,GAO20220419t174335p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
140,GAO20220923t181220p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
140,GAO20220428t171036p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
140,GAO20220422t171936p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
140,GAO20220419t174335p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
142,GAO20220923t180207p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
142,GAO20220923t175137p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
142,GAO20220428t170258p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
142,GAO20220428t165558p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
142,GAO20220422t170740p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
142,GAO20220422t165446p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
142,GAO20220419t172848p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
142,GAO20220419t171816p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
144,GAO20220923t173123p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
144,GAO20220428t164102p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
144,GAO20220422t162854p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
144,GAO20220419t165329p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
145,GAO20220923t164450p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
145,GAO20220428t160140p0000,True,2022-04-28,33.48150168,-87.14144769,GAO20220428t160140p0000-A,330.4751238601438,128.14956293427883,,pass,pass
145,GAO20220422t153007p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
145,GAO20220419t155053p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
146,GAO20220923t162942p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
